Date,Total Fish Caught
1/1/23,24
1/2/23,19
1/3/23,33
1/4/23,29
1/5/23,38
1/6/23,16
1/7/23,14
1/8/23,21
1/9/23,17
1/10/23,18
1/11/23,34
1/12/23,45
1/13/23,86
1/14/23,178
1/15/23,240
1/16/23,289
1/17/23,312
1/18/23,56
1/19/23,23
1/20/23,25
1/21/23,17
1/22/23,45
1/23/23,32
1/24/23,19
1/25/23,16
1/26/23,24
1/27/23,31
1/28/23,18
1/29/23,24
1/30/23,19
1/31/23,33
2/1/23,29
2/2/23,38
2/3/23,16
2/4/23,14
2/5/23,21
2/6/23,17
2/7/23,18
2/8/23,34
2/9/23,45
2/10/23,86
2/11/23,178
2/12/23,240
2/13/23,289
2/14/23,312
2/15/23,56
2/16/23,23
2/17/23,25
2/18/23,17
2/19/23,45
2/20/23,32
2/21/23,19
2/22/23,16
2/23/23,24
2/24/23,31
2/25/23,18
2/26/23,24
2/27/23,19
2/28/23,33
3/1/23,29
3/2/23,38
3/3/23,16
3/4/23,14
3/5/23,21
3/6/23,17
3/7/23,18
3/8/23,34
3/9/23,45
3/10/23,86
3/11/23,178
3/12/23,240
3/13/23,289
3/14/23,312
3/15/23,56
3/16/23,23
3/17/23,25
3/18/23,17
3/19/23,45
3/20/23,32
3/21/23,19
3/22/23,16
3/23/23,24
3/24/23,31
3/25/23,18
3/26/23,24
3/27/23,19
3/28/23,33
3/29/23,29
3/30/23,38
3/31/23,16
4/1/23,14
4/2/23,21
4/3/23,17
4/4/23,18
4/5/23,34
4/6/23,45
4/7/23,86
4/8/23,178
4/9/23,240
4/10/23,289
4/11/23,312
4/12/23,56
4/13/23,23
4/14/23,25
4/15/23,17
4/16/23,45
4/17/23,32
4/18/23,19
4/19/23,16
4/20/23,24
4/21/23,31
4/22/23,18
4/23/23,24
4/24/23,19
4/25/23,33
4/26/23,29
4/27/23,38
4/28/23,16
4/29/23,14
4/30/23,21
5/1/23,17
5/2/23,18
5/3/23,34
5/4/23,45
5/5/23,86
5/6/23,178
5/7/23,240
5/8/23,289
5/9/23,312
5/10/23,56
5/11/23,23
5/12/23,25
5/13/23,17
5/14/23,45
5/15/23,32
5/16/23,19
5/17/23,16
5/18/23,24
5/19/23,31
5/20/23,18
5/21/23,24
5/22/23,19
5/23/23,33
5/24/23,29
5/25/23,38
5/26/23,16
5/27/23,14
5/28/23,21
5/29/23,17
5/30/23,18
5/31/23,34
6/1/23,45
6/2/23,86
6/3/23,178
6/4/23,240
6/5/23,289
6/6/23,312
6/7/23,56
6/8/23,23
6/9/23,25
6/10/23,17
6/11/23,45
6/12/23,32
6/13/23,19
6/14/23,16
6/15/23,24
6/16/23,31
6/17/23,18
6/18/23,24
6/19/23,19
6/20/23,33
6/21/23,29
6/22/23,38
6/23/23,16
6/24/23,14
6/25/23,21
6/26/23,17
6/27/23,18
6/28/23,34
6/29/23,45
6/30/23,86
7/1/23,178
7/2/23,240
7/3/23,289
7/4/23,312
7/5/23,56
7/6/23,23
7/7/23,25
7/8/23,17
7/9/23,45
7/10/23,32
7/11/23,19
7/12/23,16
7/13/23,24
7/14/23,31
7/15/23,18
7/16/23,24
7/17/23,19
7/18/23,33
7/19/23,29
7/20/23,38
7/21/23,16
7/22/23,14
7/23/23,21
7/24/23,17
7/25/23,18
7/26/23,34
7/27/23,45
7/28/23,86
7/29/23,178
7/30/23,240
7/31/23,289
8/1/23,312
8/2/23,56
8/3/23,23
8/4/23,25
8/5/23,17
8/6/23,45
8/7/23,32
8/8/23,19
8/9/23,16
8/10/23,24
8/11/23,31
8/12/23,18
8/13/23,24
8/14/23,19
8/15/23,33
8/16/23,29
8/17/23,38
8/18/23,16
8/19/23,14
8/20/23,21
8/21/23,17
8/22/23,18
8/23/23,34
8/24/23,45
8/25/23,86
8/26/23,178
8/27/23,240
8/28/23,289
8/29/23,312
8/30/23,56
8/31/23,23
9/1/23,25
9/2/23,17
9/3/23,45
9/4/23,32
9/5/23,19
9/6/23,16
9/7/23,24
9/8/23,31
9/9/23,18
9/10/23,24
9/11/23,19
9/12/23,33
9/13/23,29
9/14/23,38
9/15/23,16
9/16/23,14
9/17/23,21
9/18/23,17
9/19/23,18
9/20/23,34
9/21/23,45
9/22/23,86
9/23/23,178
9/24/23,240
9/25/23,289
9/26/23,312
9/27/23,56
9/28/23,23
9/29/23,25
9/30/23,17
10/1/23,45
10/2/23,32
10/3/23,19
10/4/23,16
10/5/23,24
10/6/23,31
10/7/23,18
10/8/23,24
10/9/23,19
10/10/23,33
10/11/23,29
10/12/23,38
10/13/23,16
10/14/23,14
10/15/23,21
10/16/23,17
10/17/23,18
10/18/23,34
10/19/23,45
10/20/23,86
10/21/23,178
10/22/23,240
10/23/23,289
10/24/23,312
10/25/23,56
10/26/23,23
10/27/23,25
10/28/23,17
10/29/23,45
10/30/23,32
10/31/23,19
11/1/23,16
11/2/23,24
11/3/23,31
11/4/23,18
11/5/23,24
11/6/23,19
11/7/23,33
11/8/23,29
11/9/23,38
11/10/23,16
11/11/23,14
11/12/23,21
11/13/23,17
11/14/23,18
11/15/23,34
11/16/23,45
11/17/23,86
11/18/23,178
11/19/23,240
11/20/23,289
11/21/23,312
11/22/23,56
11/23/23,23
11/24/23,25
11/25/23,17
11/26/23,45
11/27/23,32
11/28/23,19
11/29/23,16
11/30/23,24
12/1/23,31
12/2/23,18
12/3/23,24
12/4/23,19
12/5/23,33
12/6/23,29
12/7/23,38
12/8/23,16
12/9/23,14
12/10/23,21
12/11/23,17
12/12/23,18
12/13/23,34
12/14/23,45
12/15/23,86
12/16/23,178
12/17/23,240
12/18/23,289
12/19/23,312
12/20/23,56
12/21/23,23
12/22/23,25
12/23/23,17
12/24/23,45
12/25/23,32
12/26/23,19
12/27/23,16
12/28/23,24
12/29/23,31
12/30/23,18
12/31/23,24